Date,Code,Currency,fcu/CAD,CAD/fcu,fcu/USD,USD/fcu,fcu/EUR,EUR/fcu
2022-03-23,CAD,Canadian Dollars,1.0000 ,1.0000 ,1.2571 ,0.7955 ,1.3822 ,0.7235 
2022-03-23,USD,U.S. Dollars,0.7955 ,1.2571 ,1.0000 ,1.0000 ,1.0995 ,0.9095 
